"sampleID" "broad.cluster" "cluster" "diagnosis"
"mc_L_428" 12 "L" "L2/3" "ASD"
"mc_L_429" 12 "L" "L4" "ASD"
"mc_L_430" 12 "L" "L5/6" "ASD"
"mc_L_431" 12 "L" "L5/6" "ASD"
"mc_L_432" 12 "L" "L5/6-CC" "ASD"
"mc_L_433" 12 "L" "L5/6-CC" "ASD"
"mc_L_434" 12 "L" "L5/6-CC" "ASD"
"mc_L_435" 12 "L" "L2/3" "ASD"
"mc_L_436" 12 "L" "L4" "ASD"
"mc_L_437" 12 "L" "L4" "ASD"
"mc_L_438" 12 "L" "L4" "ASD"
"mc_L_439" 12 "L" "L4" "ASD"
"mc_L_440" 12 "L" "L4" "ASD"
"mc_L_441" 12 "L" "L5/6" "ASD"
"mc_L_442" 12 "L" "L5/6-CC" "ASD"
"mc_L_443" 12 "L" "L2/3" "ASD"
"mc_L_444" 13 "L" "L5/6-CC" "Control"
"mc_L_445" 13 "L" "L2/3" "Control"
"mc_L_446" 13 "L" "L2/3" "Control"
"mc_L_447" 13 "L" "L2/3" "Control"
"mc_L_448" 13 "L" "L5/6" "Control"
"mc_L_449" 13 "L" "L2/3" "Control"
"mc_L_450" 13 "L" "L4" "Control"
"mc_L_451" 13 "L" "L2/3" "Control"
"mc_L_452" 13 "L" "L2/3" "Control"
"mc_L_453" 13 "L" "L5/6" "Control"
"mc_L_454" 13 "L" "L4" "Control"
"mc_L_455" 13 "L" "L2/3" "Control"
"mc_L_456" 13 "L" "L4" "Control"
"mc_L_457" 13 "L" "L2/3" "Control"
"mc_L_458" 13 "L" "L4" "Control"
"mc_L_459" 13 "L" "L2/3" "Control"
"mc_L_460" 13 "L" "L2/3" "Control"
"mc_L_461" 13 "L" "L2/3" "Control"
"mc_L_462" 13 "L" "L2/3" "Control"
"mc_L_463" 13 "L" "L4" "Control"
"mc_L_464" 13 "L" "L5/6-CC" "Control"
"mc_L_465" 13 "L" "L2/3" "Control"
"mc_L_466" 13 "L" "L2/3" "Control"
"mc_L_467" 13 "L" "L2/3" "Control"
"mc_L_468" 13 "L" "L2/3" "Control"
"mc_L_469" 13 "L" "L2/3" "Control"
"mc_L_470" 13 "L" "L4" "Control"
"mc_L_471" 13 "L" "L2/3" "Control"
"mc_L_472" 13 "L" "L2/3" "Control"
"mc_L_473" 13 "L" "L2/3" "Control"
"mc_L_474" 13 "L" "L2/3" "Control"
"mc_L_475" 13 "L" "L2/3" "Control"
"mc_L_476" 13 "L" "L2/3" "Control"
"mc_L_477" 13 "L" "L2/3" "Control"
"mc_L_478" 13 "L" "L2/3" "Control"
"mc_L_479" 13 "L" "L5/6-CC" "Control"
"mc_L_480" 13 "L" "L2/3" "Control"
"mc_L_481" 13 "L" "L2/3" "Control"
"mc_L_482" 13 "L" "L2/3" "Control"
"mc_L_483" 13 "L" "L2/3" "Control"
"mc_L_484" 13 "L" "L2/3" "Control"
"mc_L_485" 13 "L" "L5/6-CC" "Control"
"mc_L_486" 13 "L" "L2/3" "Control"
"mc_L_487" 13 "L" "L2/3" "Control"
"mc_L_488" 13 "L" "L2/3" "Control"
"mc_L_489" 13 "L" "L2/3" "Control"
"mc_L_490" 13 "L" "L2/3" "Control"
"mc_L_491" 13 "L" "L2/3" "Control"
"mc_L_492" 13 "L" "L2/3" "Control"
"mc_L_493" 13 "L" "L2/3" "Control"
"mc_L_494" 13 "L" "L2/3" "Control"
"mc_L_495" 13 "L" "L2/3" "Control"
"mc_L_496" 13 "L" "L2/3" "Control"
"mc_L_497" 13 "L" "L2/3" "Control"
"mc_L_498" 13 "L" "L2/3" "Control"
"mc_L_499" 13 "L" "L4" "Control"
"mc_L_500" 13 "L" "L5/6" "Control"
"mc_L_501" 13 "L" "L2/3" "Control"
"mc_L_502" 13 "L" "L2/3" "Control"
"mc_L_503" 13 "L" "L5/6-CC" "Control"
"mc_L_504" 13 "L" "L2/3" "Control"
"mc_L_505" 13 "L" "L2/3" "Control"
"mc_L_506" 13 "L" "L2/3" "Control"
"mc_L_507" 13 "L" "L2/3" "Control"
"mc_L_508" 13 "L" "L2/3" "Control"
"mc_L_509" 13 "L" "L5/6-CC" "Control"
"mc_L_510" 13 "L" "L2/3" "Control"
"mc_L_511" 13 "L" "L2/3" "Control"
"mc_L_512" 13 "L" "L2/3" "Control"
"mc_L_513" 13 "L" "L2/3" "Control"
"mc_L_514" 13 "L" "L2/3" "Control"
"mc_L_515" 13 "L" "L2/3" "Control"
"mc_L_516" 13 "L" "L2/3" "Control"
"mc_L_517" 13 "L" "L4" "Control"
"mc_L_518" 13 "L" "L2/3" "Control"
"mc_L_519" 13 "L" "L2/3" "Control"
"mc_L_520" 13 "L" "L2/3" "Control"
"mc_L_521" 13 "L" "L2/3" "Control"
"mc_L_522" 13 "L" "L2/3" "Control"
"mc_L_523" 13 "L" "L4" "Control"
"mc_L_524" 13 "L" "L5/6" "Control"
"mc_L_525" 13 "L" "L5/6" "Control"
"mc_L_526" 13 "L" "L5/6" "Control"
"mc_L_527" 13 "L" "L5/6" "Control"
"mc_L_528" 13 "L" "L5/6" "Control"
"mc_L_529" 13 "L" "L5/6" "Control"
"mc_L_530" 13 "L" "L5/6" "Control"
"mc_L_531" 13 "L" "L5/6-CC" "Control"
"mc_L_532" 13 "L" "L5/6" "Control"
"mc_L_533" 13 "L" "L5/6" "Control"
"mc_L_534" 13 "L" "L5/6" "Control"
"mc_L_535" 13 "L" "L2/3" "Control"
"mc_L_536" 13 "L" "L4" "Control"
